categoria,bajo_desempeno,vistas_mediana,vistas_p25,vistas_p75,engagement_mediana,bounce_mediana,revenue_mediana,palabras_mediana,parrafos_mediana,longitud_parrafo_mediana,caracteres_titulo_mediana,palabras_titulo_mediana,n
Boca del Río,0,1971.0,1020.0,4046.0,0.623212096,0.376787904,23.978628,167.0,6.0,28.5,73.0,12.0,1381
Boca del Río,1,207.0,124.0,339.0,0.8004192870000001,0.19958071300000002,2.030345,178.0,5.0,31.0,74.0,12.0,920
Espectáculos,0,183.0,100.0,506.5,0.773766076,0.22623392400000003,1.547278,227.0,6.0,33.5,72.0,12.0,1218
Espectáculos,1,36.0,26.0,47.0,0.75,0.25,0.248411,320.0,3.0,83.5,75.0,13.0,793
Estado,0,285.5,152.0,752.25,0.653413346,0.346586654,2.359228,177.0,5.0,30.25,76.0,12.0,2928
Estado,1,55.0,39.0,70.0,0.78,0.22,0.345861,225.0,5.0,40.0,78.0,12.0,1933
Finanzas,0,51.0,35.0,91.0,0.705882353,0.294117647,0.515876,197.0,5.0,31.5,70.0,12.0,693
Finanzas,1,21.0,16.0,25.0,0.625,0.375,0.10008,345.5,4.0,43.8,67.0,12.0,438
Internacional,0,102.0,63.0,210.0,0.75,0.25,0.620921,309.0,2.0,114.5,78.0,13.0,2829
Internacional,1,28.0,20.0,35.0,0.739130435,0.260869565,0.1110755,350.0,2.0,156.5,79.0,13.0,1856
Las Destacadas,0,124.0,86.0,276.0,0.838235294,0.161764706,1.151782,208.0,6.0,31.952380952380953,72.0,12.0,479
Las Destacadas,1,34.0,25.0,44.0,0.777777778,0.22222222200000002,0.227347,331.5,8.0,37.08333333333333,75.0,12.0,320
Nacional,0,186.0,111.0,405.25,0.7,0.3,1.529683,205.0,6.0,33.46060606060606,78.0,13.0,3748
Nacional,1,41.0,29.0,56.0,0.769230769,0.230769231,0.221951,225.0,5.0,37.0,78.0,12.0,2450
Policiaca,0,930.0,462.75,1996.25,0.6239526755,0.3760473245,5.8587115,163.0,6.0,29.333333333333332,72.0,12.0,2740
Policiaca,1,115.0,77.0,168.0,0.837668919,0.162331081,0.6569659999999999,170.0,5.0,31.845238095238095,72.0,12.0,1826
Sociedad,0,158.0,96.25,372.0,0.7516233765,0.2483766235,1.6424855,228.0,7.0,32.79166666666667,71.0,12.0,462
Sociedad,1,43.0,32.0,55.0,0.770833333,0.229166667,0.311535,228.0,6.0,35.75,71.0,12.0,305
Tecnociencia,0,98.0,67.0,184.75,0.7972849015000001,0.2027150985,0.9023515,268.0,7.0,34.2,71.0,12.0,750
Tecnociencia,1,29.5,22.0,38.0,0.733333333,0.266666667,0.1682075,461.5,6.0,42.87698412698413,80.0,13.0,484
Veracruz,0,1136.0,617.0,2484.0,0.624584718,0.375415282,11.939634,182.0,6.0,29.75,73.0,12.0,3705
Veracruz,1,160.0,97.0,236.75,0.77032032,0.22967968,1.4126295,198.0,6.0,31.78888888888889,74.0,12.0,2470
